0.64 	0.90
0.66 	0.91
0.68 	0.92
0.70 	0.93
0.72 	0.94
0.74	0.95
0.76 	0.96
0.78  	0.97
0.80 	0.98
0.82	0.98
0.84 	0.98
0.86 	0.98
0.88 	0.98
0.90 	0.98
0.92 	1.23
0.94 	1.28
1.01 	1.42
1.27 	1.64
1.63 	1.94
2.14  	2.46
2.99 	3.29
3.84 	4.24
4.85 	5.11
4.68 	5.06
4.55 	5.03
4.53 	5.03
4.54 	5.00
4.44 	4.92
4.43 	4.84
4.35 	4.62
4.24 	4.42
4.27  	4.57
4.83 	4.93
4.21 	4.69
4.32 	4.77
4.50 	4.80
4.34 	4.57
4.16 	4.27
4.15 	4.20
3.96 	4.12
3.91 	4.02
3.89 	3.94
3.69 	3.86
3.67  	3.80
3.68 	3.73
3.45 	3.64
3.39 	3.54
3.18 	3.37
3.13 	3.26
2.97 	3.14
2.90 	3.01
2.72 	2.92
2.68 	2.83
2.66 	2.75
2.47 	2.63
2.42  	2.54
2.44 	2.51
2.23 	2.37
2.15 	2.22
2.14 	2.17
2.14 	2.16
2.14 	2.15
2.13 	2.14
2.13 	2.16
2.13 	2.17
2.13 	2.17
2.13 	2.17
2.14  	2.18
2.20 	2.21
2.13 	2.20
2.11 	2.18
2.11 	2.14
2.11 	2.14
2.10 	2.15
2.10 	2.14
2.09 	2.11
2.08 	2.06
2.07 	2.06
2.09 	2.10
2.11  	2.12
2.16 	2.18
2.11 	2.19
2.13 	2.17
2.16 	2.18
2.15 	2.17
2.16 	2.16
2.23 	2.20
2.57 	2.46
2.61 	2.57
2.64 	2.56
2.83 	2.76
2.90  	2.88
3.05 	3.00
3.29 	3.19
3.35 	3.31
3.36 	3.36
3.38 	3.40
3.42 	3.46
3.43 	3.52
3.42 	3.51
3.38 	3.46
3.39 	3.43
3.38 	3.40
3.39  	3.38
3.48 	3.40
3.50 	3.45
3.77 	3.66
4.17 	4.10
4.54 	4.43
4.59 	4.53
4.59 	4.52
4.75 	4.71
4.83 	4.71
4.85 	4.78
4.87 	4.83
4.88  	4.84
5.01 	5.00
4.99 	5.16
4.92 	5.11
4.77  	4.92
